epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,222.758,0.41758,0.31086,0.86913,0.99606,0.98611,0.98403,0.88417,0.50481,0.30476,0.90784,0.000870066,0.000870066,0.000870066
142,224.337,0.41653,0.30724,0.86845,0.98706,0.97587,0.98284,0.89366,0.48264,0.32796,0.89103,0.000867352,0.000867352,0.000867352
143,225.865,0.43094,0.3121,0.87307,0.99599,0.98611,0.98285,0.89268,0.48045,0.2943,0.89227,0.000864638,0.000864638,0.000864638
144,227.408,0.42127,0.31695,0.86953,0.9965,0.98611,0.98296,0.88952,0.46916,0.29396,0.89225,0.000861924,0.000861924,0.000861924
145,228.962,0.40423,0.29814,0.86377,0.98431,0.98071,0.9831,0.89438,0.47716,0.31309,0.9046,0.000859211,0.000859211,0.000859211
146,230.485,0.39866,0.28836,0.86343,0.99344,0.98611,0.98424,0.88877,0.48618,0.30841,0.90343,0.000856497,0.000856497,0.000856497
147,232.004,0.40977,0.2946,0.87046,0.99382,0.96406,0.98451,0.89034,0.49988,0.33295,0.90601,0.000853783,0.000853783,0.000853783
148,233.546,0.42171,0.29545,0.86587,0.99162,0.98424,0.98432,0.89887,0.49382,0.3242,0.8994,0.000851069,0.000851069,0.000851069
149,235.087,0.39356,0.28745,0.8515,0.9958,0.98611,0.98578,0.89798,0.49099,0.28771,0.90118,0.000848355,0.000848355,0.000848355
150,236.615,0.41447,0.29138,0.86813,0.99685,0.98611,0.9862,0.89817,0.5012,0.28287,0.90729,0.000846526,0.000846526,0.000846526
151,238.155,0.41282,0.29485,0.86347,0.99702,0.98611,0.98598,0.88948,0.50722,0.28736,0.92217,0.000843818,0.000843818,0.000843818
152,239.726,0.40271,0.28352,0.85046,0.99661,0.98611,0.98537,0.89237,0.49735,0.28948,0.92032,0.000841111,0.000841111,0.000841111
153,241.288,0.40086,0.30277,0.87012,0.99639,0.98611,0.98427,0.89163,0.47868,0.2969,0.91194,0.000838403,0.000838403,0.000838403
154,242.806,0.39441,0.28326,0.8509,0.99571,0.98611,0.98471,0.89458,0.4936,0.28256,0.91803,0.000835695,0.000835695,0.000835695
155,244.384,0.39229,0.28216,0.85857,0.99574,0.98611,0.98432,0.89681,0.47121,0.2932,0.90652,0.000832987,0.000832987,0.000832987
156,245.898,0.39634,0.28434,0.86626,0.99521,0.98611,0.98421,0.88994,0.49196,0.30741,0.91258,0.000830279,0.000830279,0.000830279
157,247.458,0.40944,0.29304,0.88113,0.99254,0.97843,0.98475,0.90052,0.49027,0.29206,0.90692,0.000827571,0.000827571,0.000827571
158,249.007,0.41052,0.29858,0.86353,0.98723,0.97911,0.98475,0.89676,0.49014,0.2943,0.91726,0.000824863,0.000824863,0.000824863
159,250.549,0.39424,0.28052,0.85285,0.99086,0.98611,0.98314,0.90054,0.46878,0.28393,0.90203,0.000822155,0.000822155,0.000822155
160,252.075,0.38382,0.27529,0.86084,0.99558,0.98611,0.98304,0.89472,0.47155,0.29072,0.90387,0.000819447,0.000819447,0.000819447
161,253.618,0.3917,0.27866,0.85338,0.98215,0.97579,0.98326,0.89561,0.46709,0.28678,0.90427,0.00081674,0.00081674,0.00081674
162,255.148,0.40214,0.28538,0.86497,0.9827,0.97748,0.9839,0.89309,0.46164,0.29685,0.90338,0.000814032,0.000814032,0.000814032
163,256.68,0.38907,0.27704,0.84987,0.97261,0.98611,0.98379,0.88531,0.49008,0.31314,0.92413,0.000811324,0.000811324,0.000811324
164,258.199,0.38044,0.27687,0.85295,0.99084,0.9751,0.98375,0.89929,0.48176,0.30805,0.92359,0.000808616,0.000808616,0.000808616
165,259.759,0.38528,0.27576,0.85916,0.99004,0.97676,0.98397,0.88692,0.48641,0.29648,0.91513,0.000806878,0.000806878,0.000806878
166,261.299,0.39698,0.28284,0.87206,0.98745,0.97545,0.98409,0.89657,0.46444,0.30806,0.90291,0.000804176,0.000804176,0.000804176
167,262.837,0.40193,0.28125,0.8619,0.98873,0.9754,0.98387,0.89059,0.48026,0.31699,0.90788,0.000801474,0.000801474,0.000801474
168,264.416,0.37681,0.27445,0.85798,0.98433,0.98611,0.98345,0.89248,0.48241,0.31546,0.91323,0.000798772,0.000798772,0.000798772
169,265.931,0.37874,0.27316,0.86283,0.98758,0.97969,0.98385,0.89557,0.48107,0.29776,0.91451,0.00079607,0.00079607,0.00079607
170,267.489,0.3921,0.27942,0.86332,0.99416,0.98611,0.98435,0.89713,0.47237,0.2913,0.90811,0.000793368,0.000793368,0.000793368
171,269.041,0.383,0.27492,0.86642,0.99512,0.98611,0.98511,0.89704,0.48012,0.29367,0.91667,0.000790666,0.000790666,0.000790666
172,270.587,0.3889,0.2881,0.86815,0.99541,0.98611,0.98471,0.89526,0.49845,0.31199,0.91889,0.000787964,0.000787964,0.000787964
173,272.122,0.38072,0.27705,0.86176,0.99506,0.98611,0.98505,0.89964,0.45482,0.28903,0.89979,0.000785262,0.000785262,0.000785262
174,273.659,0.36837,0.26749,0.84722,0.99618,0.98611,0.9856,0.89425,0.47672,0.29455,0.90625,0.00078256,0.00078256,0.00078256
175,275.191,0.37375,0.26846,0.84783,0.99634,0.98611,0.98569,0.8985,0.47736,0.29025,0.90522,0.000779858,0.000779858,0.000779858
176,276.717,0.37493,0.27447,0.84478,0.99684,0.98611,0.98517,0.88986,0.4913,0.30011,0.91999,0.000777156,0.000777156,0.000777156
177,278.255,0.38299,0.27485,0.85609,0.99681,0.98611,0.98494,0.88889,0.5009,0.28095,0.91986,0.000774454,0.000774454,0.000774454
178,279.819,0.37814,0.27736,0.86317,0.99655,0.98611,0.98448,0.88248,0.48139,0.27963,0.91046,0.000771752,0.000771752,0.000771752
179,281.392,0.38559,0.27254,0.85009,0.99656,0.98611,0.98505,0.8922,0.4838,0.29714,0.89918,0.00076905,0.00076905,0.00076905
